memorimanag: Peter Denning, Kathryn McKinley, Robert Ashenhurst, David Patterson, Peter Neumann, Rajeev Gupta, Frans Kaashoek, Michael Stonebraker, Mahmut T Kandemir, Jennifer Rexford, Mark Hill, Thomas Anderson, Mary Lou Soffa, Alexander Aiken, John Hennessy, Joseph Hellerstein, Henry Levy, Michael Carey, Nikil D Dutt, Amin Vahdat, Monica Lam, Trevor Mudge, James Larus, Thomas Gro, Phillip B Gibbons, Rachid Guerraoui, Amer Diwan, David Bacon, David DeWitt, Edward Lazowska
differmemori: Peter Denning, Kathryn McKinley, Peter Neumann, Rajeev Gupta, Martin Rinard, Mahmut T Kandemir, Mark Thorson, Mark Hill, Thomas Anderson, Alexander Aiken, John Hennessy, Henry Levy, Michael Carey, Nikil D Dutt, Amin Vahdat, Monica Lam, Trevor Mudge, James Larus, Thomas Gro, Phillip B Gibbons, Rachid Guerraoui, Amer Diwan, Rastislav Bodk, David Bacon, David DeWitt, Margaret Martonosi, Christoforos Kozyrakis, Saman Amarasinghe, David R Cheriton, Yuanyuan Zhou
regist: Kathryn McKinley, Robert Ashenhurst, David Patterson, Scott Shenker, Peter Neumann, Mark Doernhoefer, Rajeev Gupta, Frans Kaashoek, Mahmut T Kandemir, Mark Thorson, Thomas Anderson, Mary Lou Soffa, Randy Katz, Alexander Aiken, John Hennessy, Nikil D Dutt, Monica Lam, Trevor Mudge, Jeffrey Ullman, Thomas Gro, Rachid Guerraoui, Rastislav Bodk, David Bacon, Ion Stoica, Christoforos Kozyrakis, Saman Amarasinghe, David Parnas, Barbara Liskov, David R Cheriton, Michael Hicks
accessdata: Kathryn McKinley, Scott Shenker, Rajeev Gupta, Martin Rinard, Frans Kaashoek, Michael Stonebraker, Mahmut T Kandemir, Mark Hill, Lixia Zhang, Thomas Anderson, Randy Katz, John Hennessy, Joseph Hellerstein, Philip S Yu, Michael Carey, Nikil D Dutt, Monica Lam, Trevor Mudge, Andy Wellings, Thomas Gro, Rastislav Bodk, David DeWitt, James Gray, Deborah Estrin, Saman Amarasinghe, Barbara Liskov, Ramesh Govindan, David R Cheriton, Yuanyuan Zhou, David Wood
memoriaddress: Peter Denning, Kathryn McKinley, David Patterson, Peter Neumann, Rajeev Gupta, Martin Rinard, Frans Kaashoek, Mahmut T Kandemir, Mark Thorson, Jennifer Rexford, Mark Hill, Alexander Aiken, John Hennessy, Henry Levy, Nikil D Dutt, Trevor Mudge, Jeffrey Ullman, Andy Wellings, James Larus, Phillip B Gibbons, Rastislav Bodk, Margaret Martonosi, Edward Lazowska, Saman Amarasinghe, Larry Peterson, David R Cheriton, David Wood, Michael Hicks, Susan Eggers, Paul Frenger
newapplic: Peter Denning, Kathryn McKinley, David Patterson, Scott Shenker, Hctor GarcaMolina, Michael Stonebraker, Jennifer Rexford, Lixia Zhang, Diane Crawford, Ben Shneiderman, Thomas Anderson, Joseph Hellerstein, Jon Crowcroft, Michael Carey, Marianne Winslett, Monica Lam, Trevor Mudge, Jeffrey Ullman, Andy Wellings, James Larus, Rachid Guerraoui, Amer Diwan, David DeWitt, Margaret Martonosi, James Gray, Ion Stoica, Deborah Estrin, Christoforos Kozyrakis, Mary Beth Rosson, Michael Hicks
cachmiss: Kathryn McKinley, David Patterson, Donald Towsley, Rajeev Gupta, Mahmut T Kandemir, Mark Thorson, Mark Hill, Lixia Zhang, Thomas Anderson, Mary Lou Soffa, Randy Katz, John Hennessy, Henry Levy, Nikil D Dutt, Monica Lam, Trevor Mudge, James Larus, Thomas Gro, Phillip B Gibbons, Amer Diwan, Rastislav Bodk, Margaret Martonosi, James Gray, Christoforos Kozyrakis, Saman Amarasinghe, David R Cheriton, Yuanyuan Zhou, David Wood, Susan Eggers, Sarita V Adve
cachmemori: Kathryn McKinley, David Patterson, Peter Neumann, Donald Towsley, Martin Rinard, Frans Kaashoek, Mahmut T Kandemir, Mark Thorson, Mark Hill, Lixia Zhang, Thomas Anderson, Mary Lou Soffa, Randy Katz, John Hennessy, Henry Levy, Michael Carey, Nikil D Dutt, Trevor Mudge, James Larus, Thomas Gro, Phillip B Gibbons, Amer Diwan, Rastislav Bodk, Margaret Martonosi, Christoforos Kozyrakis, David R Cheriton, Yuanyuan Zhou, David Wood, Susan Eggers, Sarita V Adve
memorioper: Peter Denning, Kathryn McKinley, David Patterson, Rajeev Gupta, Martin Rinard, Frans Kaashoek, Mahmut T Kandemir, Mark Thorson, Mark Hill, Alexander Aiken, John Hennessy, Joseph Hellerstein, Nikil D Dutt, James Larus, Thomas Gro, Phillip B Gibbons, Rachid Guerraoui, David Bacon, Margaret Martonosi, Mooly Sagiv, Christoforos Kozyrakis, Saman Amarasinghe, Larry Peterson, David R Cheriton, Yuanyuan Zhou, David Wood, Susan Eggers, Sarita V Adve, Frank Mueller, Anoop Gupta
effici: Peter Denning, Robert Ashenhurst, Hctor GarcaMolina, Donald Towsley, Rajeev Gupta, Frans Kaashoek, Michael Stonebraker, Mark Thorson, Mark Hill, Diane Crawford, Ben Shneiderman, Mary Lou Soffa, John Hennessy, Joseph Hellerstein, Michael Carey, Monica Lam, Trevor Mudge, Jeffrey Ullman, Rockford Ross, Rastislav Bodk, Alan Burns, David DeWitt, James Gray, Henry M Walker, Christoforos Kozyrakis, Saman Amarasinghe, David Parnas, Laurence Press, Stefano Ceri, George Varghese
alloc: Peter Denning, Kathryn McKinley, Scott Shenker, Donald Towsley, Rajeev Gupta, Martin Rinard, Frans Kaashoek, Mahmut T Kandemir, Jennifer Rexford, Lixia Zhang, Mary Lou Soffa, Randy Katz, Alexander Aiken, John Hennessy, Philip S Yu, Michael Carey, Nikil D Dutt, Amin Vahdat, Andy Wellings, James Larus, Thomas Gro, Phillip B Gibbons, Amer Diwan, Rastislav Bodk, David Bacon, Alan Burns, Mooly Sagiv, Henry M Walker, Ion Stoica, Deborah Estrin
benchmark: Kathryn McKinley, David Patterson, Rajeev Gupta, Michael Stonebraker, Mahmut T Kandemir, Mark Thorson, Mark Hill, Thomas Anderson, Mary Lou Soffa, Randy Katz, Alexander Aiken, John Hennessy, Henry Levy, Michael Carey, Marianne Winslett, Nikil D Dutt, Trevor Mudge, James Larus, Thomas Gro, Phillip B Gibbons, Rachid Guerraoui, Amer Diwan, David Bacon, David DeWitt, Margaret Martonosi, James Gray, Mooly Sagiv, Saman Amarasinghe, David Parnas, David Wood
synchron: Kathryn McKinley, Robert Ashenhurst, Hctor GarcaMolina, Mark Doernhoefer, Donald Towsley, Rajeev Gupta, Martin Rinard, Mark Thorson, Mark Hill, Lixia Zhang, Mary Lou Soffa, Alexander Aiken, Joseph Hellerstein, Henry Levy, Jon Crowcroft, Monica Lam, Andy Wellings, James Larus, Thomas Gro, Rachid Guerraoui, David Bacon, Alan Burns, Mooly Sagiv, Edward Lazowska, Deborah Estrin, Peter Henderson, Ramesh Govindan, David R Cheriton, Yuanyuan Zhou, David Wood
concurr: Peter Denning, Kathryn McKinley, Robert Ashenhurst, Hctor GarcaMolina, Mark Doernhoefer, Martin Rinard, Frans Kaashoek, Michael Stonebraker, Mark Thorson, Diane Crawford, Alexander Aiken, Michael Carey, Marianne Winslett, Monica Lam, Andy Wellings, James Larus, Thomas Gro, Rockford Ross, Phillip B Gibbons, Rachid Guerraoui, Rastislav Bodk, David Bacon, Alan Burns, Mooly Sagiv, Edward Lazowska, Brad Myers, Christoforos Kozyrakis, Barbara Liskov, Ramesh Govindan, Yuanyuan Zhou
maniapplic: Peter Denning, Kathryn McKinley, Scott Shenker, Hctor GarcaMolina, Martin Rinard, Frans Kaashoek, Michael Stonebraker, Mahmut T Kandemir, Mark Thorson, Jennifer Rexford, Diane Crawford, Thomas Anderson, Joseph Hellerstein, Philip S Yu, Jon Crowcroft, Amin Vahdat, Monica Lam, Jeffrey Ullman, Thomas Gro, Phillip B Gibbons, Alan Burns, David DeWitt, James Gray, Ion Stoica, Deborah Estrin, Christoforos Kozyrakis, Saman Amarasinghe, Ramesh Govindan, Nick Feamster, Sarita V Adve
